id	author	type	length	medium	date	title	romanizedTitle	translatedTitle	firstAppearance	firstAppearanceEn	firstAppearanceLinkOrId	link	placement	event	記事再録・雑誌再販	備考
0014	麻井均	個人誌	14ページ	紙	2023/9/3	二度と戻れない未来： 麻井均2023年論集	Nidoto modorenai mirai: ASAI Hitoshi 2023nen ronshuu	The Future We Cannot Return To: 2023 Works Collection of ASAI Hitoshi				https://booth.pm/ja/items/5069981		COMITIA145	Booth	コピー本、14ページ＋表紙、モノクロ
0015	麻井均	エッセイ		紙	2023/9/3	同じ演劇を三回見てきた話	Onaji engeki wo sankai mitekita hanashi	Saw the Same Play Thrice	二度と戻れない未来： 麻井均2023年論集	The Future We Cannot Return To: 2023 Works Collection of ASAI Hitoshi	#0014		p. 3-4	COMITIA145		
0016	麻井均	小説	短編	Web	2024/6/17	人間を弔うことについて	Ningen wo tomurau koto ni tsuite	Mourning for Man	Note			https://note.com/asainingen/n/ncd1dd39af3e7	https://note.com/asainingen/n/ncd1dd39af3e7			
0017	麻井均	小説	短編	Web	2024/6/18	口伝と記録	Kuden to kiroku	Dictation and Documentation	Note			https://note.com/asainingen/n/n5814b6965a9e	https://note.com/asainingen/n/n5814b6965a9e			
0018	麻井均	小説	短編	Web	2024/6/20	バベルから来た男	Babel kara kita otoko	The Man From Babel	Note			https://note.com/asainingen/n/n598427075949	https://note.com/asainingen/n/n598427075949			
0019	麻井均	小説	短編	Web	2024/6/23	電気通信上の政治	Denki tsushin jou no seiji	Politics on ICT	Note			https://note.com/asainingen/n/nabaf00b249de	https://note.com/asainingen/n/nabaf00b249de			
0020	麻井均	その他		紙	2024/8/11	早稲田V研VTuber音楽大調査	WasedaVken VTuber ongaku daichousa	Survey on VTuber Music in Waseda VTuber Society	VTrue Vol.3		https://waseda.vken.org/publish/vtrue/vol3		p. 54-58	C104		
0021	早稲田V研A	インタビュー		紙	2025/6/30	「推し」たい気持ちの最前線　大学生たちの推し活事情とVTuber文化	Oshitai kimochi no saizensen: Daigakusei tachi no Oshikatsu jijou to VTuber bunka	The Forefront of Desire to Do Fan Activities: University Students' Oshikatsu Practices and VTuber Culture	Hukyu 1		https://hukyu.jp/		p. 204-210			早稲田V研のAさんとして掲載
=======
=======
>>>>>>> Stashed changes
0001	麻井均	脚本		未公開	2022/03/10	存在の耐えられない重さ	Sonzai no Taerarenai Omosa	The Unbearable Heaviness of Being								
0002	麻井均	小説	短編	Web	2021/07/12	百分の一の救済	Hyakubun no Ichi no Kyuusai	Salvation of One Percent	Pixiv			https://www.pixiv.net/novel/show.php?id=15596777	https://www.pixiv.net/novel/show.php?id=15596777			悲しき亜熱帯2
0003	麻井均	小説	短編	Web	2021/07/07	雄星より愛をこめて	Yuusei Yori Ai wo Komete	From the Male Planet with Love	Pixiv			https://www.pixiv.net/novel/show.php?id=15561843	https://www.pixiv.net/novel/show.php?id=15561843		反仮想体 1	悲しき亜熱帯1
0004	麻井均	小説	短編	Web	2021/08/26	二人だけの閉じた生温い空間	Hutaridake no Tojita Namaatatakai Kuukan	The Closed Lukewarm Space for the Only Two	Pixiv			https://www.pixiv.net/novel/show.php?id=15889772	https://www.pixiv.net/novel/show.php?id=15889772			悲しき亜熱帯3
0005	麻井均	小説	短編	Web	2021/10/24	電書鳩	Denshobato	Carrier Pigeon's Tweet	Pixiv			https://www.pixiv.net/novel/show.php?id=16284035	https://www.pixiv.net/novel/show.php?id=16284035			
0006	麻井均	小説	短編	応募	2022/09/30	世界乱数	Sekai Ransuu	The Coin and Coincidence							反仮想体 1	第10回星新一賞
0007	麻井均	論考			2023/12/30	なぜVTuberを書き記すのか： 文化としてのVTuberの構築に向けて	Naze VTuber wo Kakishirusu Noka: Bunka to Shiteno VTuber no Kouchiku ni Mukete	Why We Document VTubers: Building VTubers as a Culture	VTrue Vol.2		https://waseda.vken.org/publish/vtrue/vol2		p. 65-79	C103		
0008	麻井均	論考		レポート	2023/07/27	金玉の神話	Kintama no Shinwa	Myth of Balls			#0011				反仮想体 1	
0009	麻井均	論考		紙	2023/08/12	実家、あるいはどこかで推しが配信していてくれること: 帰るべき場所としての推し論	Jikka, Aruiha Dokoka de Oshi ga Haishin Siteite Kureru Koto: Kaerubeki Basho to Shiteno Oshi Ron	The Home, or Oshi is Streaming Somewhere: Oshi as the Place We Go Back	VTrue Vol.1		https://waseda.vken.org/publish/vtrue/vol1		p. 14-17	C102		
0010	麻井均	その他		紙	2023/08/12	VTrue刊行宣言	VTrue Kankou Sengen	Manifesto VTrue	VTrue Vol.1		https://waseda.vken.org/publish/vtrue/vol1	https://waseda.vken.org/publish/vtrue#h.5d75e2t1u8ri	最終ページ	C102	VTrue各号・V研ウェブサイト	
0011	半知半会	合同誌	112ページ	紙	2023/08/13	反仮想体 1	Han-kasoutai 1	Anti-Imagenta 1						C102		自家製本、112ページ＋表紙、モノクロ
0012	麻井均	エッセイ		紙	2023/08/13	推しは消え、人は死ぬ	Oshi ha Kie, Hito ha shinu	Oshi Fade Away, People Pass Away	反仮想体 1	Anti-Imagenta 1	#0011		p. 93-95			
0013	麻井均	その他		紙	2023/08/13	反仮想体　結	Han-Kasoutai Ketsu	Epilogue of Anti-Imagenta 1	反仮想体 1	Anti-Imagenta 1	#0011		p.109			反仮想体 1の結語
0014	麻井均	個人誌	14ページ	紙	2023/09/03	二度と戻れない未来： 麻井均2023年論集	Nidoto Modorenai Mirai: ASAI Hitoshi 2023-Nen Ronshuu	The Future We Cannot Return To: 2023 Works Collection of ASAI Hitoshi				https://booth.pm/ja/items/5069981		COMITIA145	Booth	コピー本、14ページ＋表紙、モノクロ
0015	麻井均	エッセイ		紙	2023/09/03	同じ演劇を三回見てきた話	Onaji Engeki wo Sankai Mitekita Hanashi	Saw the Same Play Thrice	二度と戻れない未来： 麻井均2023年論集	The Future We Cannot Return To: 2023 Works Collection of ASAI Hitoshi	#0014		p. 3-4	COMITIA145		
0016	麻井均	小説	短編	Web	2024/06/17	人間を弔うことについて	Ningen wo Tomurau Koto ni Tsuite	Mourning for Man	Note			https://note.com/asainingen/n/ncd1dd39af3e7	https://note.com/asainingen/n/ncd1dd39af3e7			
0017	麻井均	小説	短編	Web	2024/06/18	口伝と記録	Kuden to Kiroku	Dictation and Documentation	Note			https://note.com/asainingen/n/n5814b6965a9e	https://note.com/asainingen/n/n5814b6965a9e			
0018	麻井均	小説	短編	Web	2024/06/20	バベルから来た男	Babel kara Kita Otoko	The Man From Babel	Note			https://note.com/asainingen/n/n598427075949	https://note.com/asainingen/n/n598427075949			
0019	麻井均	小説	短編	Web	2024/06/23	電気通信上の政治	Denki Tsushin Jou no Seiji	Politics on ICT	Note			https://note.com/asainingen/n/nabaf00b249de	https://note.com/asainingen/n/nabaf00b249de			
0020	麻井均	その他		紙	2024/8/11	早稲田V研VTuber音楽大調査	WasedaVken VTuber Ongaku Daichousa	Survey on VTuber Music in Waseda VTuber Society	VTrue Vol.3		https://waseda.vken.org/publish/vtrue/vol3		p. 54-58	C104		
0021	早稲田V研A	インタビュー		紙	2025/06/30	「推し」たい気持ちの最前線　大学生たちの推し活事情とVTuber文化	Oshitai Kimochi no Saizensen: Daigakusei Tachi no Oshikatsu Jijou to VTuber Bunka	The Forefront of Desire to Do Fan Activities: University Students' Oshikatsu Practices and VTuber Culture	Hukyu 1		https://hukyu.jp/		p. 204-210			早稲田V研のAさんとして掲載
<<<<<<< Updated upstream
>>>>>>> Stashed changes
=======
>>>>>>> Stashed changes
0022	関東VTuber学連（Vゆに）	合同誌		紙	2024/12/30	VゆにVTuber図鑑 Vol.1	V-yuni VTuber Zukan Vol.1	V-Uni VTuber Visual Dictionary Vol.1						C105		企画
